20	42	24	29	10	18	25	53	25	24	10	13	26	23	21	10	32	10	9	6	30	22	6	28	51	12	21	33	3	2	24	16	24	38	36	2	26	77	87	164	13	77	22	52	32	58	24	19	3	182	26	9	149	39	55	132	58	111	71	6	70	16	17	18	7	20	8	15	39	13	21	9	14	43
11	7	38	42	19	7	8	18	36	31	29	12	11	26	19	25	27	9	18	8	28	15	26	19	29	12	9	8	11	16	8	23	25	50	9	6	36	29	15	14	23	6	28	25	50	6	28	25	26	21	12	16	26	29	4	11	17	25	14	26	21	12	16	26	29	4	11	17	25	14	34	24	10	6
23	44	63	15	30	31	43	17	23	2	10	13	18	5	16	4	25	140	36	35	14	28	44	27	39	10	18	7	9	16	15	17	58	29	11	9	36	41	23	18	27	28	29	8	26	1	9	21	50	1	22	5	23	6	47	9	36	4	7	6	53	5	9	7	53	18	13	9	53	11	30	17	20	22
5	11	26	50	26	35	24	27	21	30	25	14	24	10	44	9	32	26	19	31	8	18	13	23	24	4	17	7	18	1	7	18	39	12	8	19	26	10	28	14	31	30	16	13	10	37	10	6	16	39	19	41	25	20	34	34	24	30	38	24	26	2	15	20	63	26	15	18	45	15	29	5	33	19
40	58	63	56	66	15	45	38	62	31	14	30	11	16	31	26	147	33	34	80	17	173	40	16	4	22	24	7	14	33	35	27	36	35	13	18	26	4	24	25	17	21	6	10	33	9	19	18	39	9	23	64	55	123	27	91	36	66	78	34	39	35	72	12	25	25	80	27	32	76	40	23	35	19
15	27	9	7	16	38	20	38	16	9	14	21	5	5	12	17	34	37	22	6	16	14	8	9	10	13	2	10	17	9	11	21	45	53	46	49	87	27	109	21	44	80	24	35	20	36	19	17	51	76	6	22	42	37	29	26	32	57	24	30	57	27	71	3	187	42	39	26	122	55	50	28	30	65
15	13	25	17	184	16	13	30	29	46	26	15	9	3	37	15	21	10	37	9	26	26	4	24	23	19	22	25	6	29	9	41	60	47	186	77	34	25	27	42	80	64	27	58	23	59	46	60	19	124	45	32	9	37	17	26	23	81	29	7	79	47	35	43	36	4	13	25	58	24	27	18	3	24
10	7	29	25	42	10	12	18	36	5	28	58	68	20	57	8	27	158	16	61	54	23	19	9	11	68	26	37	24	74	46	15	27	163	141	41	139	47	94	65	156	111	157	29	36	39	66	18	73	162	132	59	173	142	134	111	128	152	85	160	20	29	35	36	74	5	50	58	47	43	49	99	21	17
11	6	14	41	22	29	24	17	10	20	9	2	28	13	22	17	13	9	6	76	8	37	8	5	13	20	14	29	3	27	4	7	59	160	15	20	25	22	8	21	162	17	11	7	36	15	28	3	1	19	39	26	23	26	26	9	22	23	18	9	185	23	25	18	9	11	22	15	97	24	24	9	23	11
38	56	24	25	14	26	12	17	10	15	22	33	5	25	25	12	38	26	38	21	14	11	186	14	25	47	22	12	25	18	17	16	46	22	29	19	131	37	30	20	177	8	7	17	21	14	10	5	44	97	24	21	13	36	28	13	27	67	17	23	13	13	16	25	13	24	7	21	13	12	20	10	45	33
14	39	8	30	24	36	31	19	21	11	14	17	11	24	1	21	187	41	35	6	33	22	18	8	23	40	15	29	26	19	19	28	23	54	25	19	31	3	17	17	8	7	13	18	12	12	7	4	19	176	18	20	41	184	16	42	24	180	31	5	5	15	60	9	3	9	27	10	4	44	13	11	26	40
50	89	53	69	15	65	40	16	7	19	13	16	11	16	18	20	31	25	156	80	71	13	31	185	22	19	17	14	15	27	5	15	62	140	113	17	9	15	12	19	174	42	11	21	35	11	25	27	4	179	108	47	172	172	170	55	114	176	51	18	119	20	47	84	108	11	79	33	114	63	13	40	162	23
17	11	159	88	57	30	36	21	30	34	64	52	19	29	24	25	14	20	6	17	16	8	5	4	20	9	8	10	21	30	15	10	193	100	46	78	30	49	31	67	103	147	75	110	82	84	72	18	69	23	5	116	22	55	21	66	29	39	91	27	84	32	108	5	17	9	21	18	51	65	19	10	39	40
